Winery,Aglianico,Barbera,Cabernet Sauvignon,Cab Franc,Carignane,Cinsault,Dolcetto,Grenache,Merlot,Malbec,Mourvedre,Petite Sirah,Petit Verdot,Pinot Noir,Primitivo,Red Blend,Red Dessert,Sangiovese,Syrah,Tempranillo,Zinfandel,Sparking / Champagne,Albarino,Chardonnay,Chenin Blanc,Gewürztraminer,Grenache Blanc,Marsanne,Pinot Blanc,Pinot Gris,Riesling,Rosé,Roussanne,Sauvignon Blanc,Semillon,Vermentino,Viognier,White Blend,White Dessert
Lambert Bridge Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancaster Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landa Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmark Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larson Family Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasseter Family Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lattanzio Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Glen Vineyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauterbach Cellars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledson Winery & Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limerick Lane Cellars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lioco Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Vineyards Family Winery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Littorai Wines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
